Shipment_ID,Shipment_Details,success
107,Ujkyhtjvauzosk,1
108,Cmczglqsxetdqr,0
109,Dwjezsdynckgrj,0
110,Mpdiefgbojzkwh,0
111,Coslwedkzaqsjs,1
112,Tlcrbwusavnbxo,1
113,Abrzwyouwbmtpj,1
114,Vynkkeceqmdzpm,0
115,Bcjwgpekhmnhqa,1
116,Kbpgpjkwuqguxd,0
117,Yjsyhtjhmkaxbw,0
118,Imzmfttkuiiflh,0
119,Yrmwnvlpjtsqys,0
120,Thzpxztckleaio,0
121,Cubguvydsxqcxl,0
122,Gjvkdjkrwbgdka,1
123,Euqpcxopfdhkiv,1
124,Gpluvrugalrcmx,0
125,Rqwnlxikitdnhf,1
126,Etqvvtmmevzvjg,1
127,Fyshezrltqhwsi,1
128,Gdaclnsccolqwo,1
129,Yrguhyfxqiiupe,0
130,Uosnnpejnpdwny,1
131,Gyldkdfamondpz,0
132,Aqggavwwuazits,1
133,Ylfxfatjimdvev,1
134,Wixkzjtkusklqh,1
135,Ezcboentlmrddq,0
136,Xwmlmtdogkhidh,1
137,Bskipuzkvjwlus,1
138,Cfxmfvgtiebekn,1
139,Peinqdiocfhozf,0
140,Izwbrjtudbgkdf,1
141,Sbxpklimeqyysu,1
142,Teimhbbfwdagjd,1
143,Slevdibkqvjtcd,0
144,Emxwfonaczustb,1
145,Bdavtcmdskfkhs,0
146,Zcuozlrcpkaviu,1
147,Wusotcerenrkam,1
148,Ecbvetaylrwftk,0
149,Lzevglbtohgemn,0
150,Aaqnctuqsoujsq,1
151,Hdztilzanmqrff,0
152,Ubenbgmpvoqeuf,1
153,Cnerzkioxumlsb,0
154,Efhdyucrxxvjub,1
155,Nvrrxdwqycnsqq,1
156,Icjhnkqzjtkdvb,1
157,Nhawybfaljskjf,1
158,Niygfkqvczpste,1
159,Meugxdrmwgpkzc,1
160,Wvceodztodwakt,0
161,Nfgoyqlxnmcycr,0
162,Ojhgghypifenio,0
163,Siwleuenvzlcoa,1
164,Zfuvkramkzvltg,1
165,Hmrcfxqmrityag,1
166,Sgldvgnmsxalte,1
167,Gdaegxatvfugph,1
168,Ejzzgvgqzxslqd,1
169,Hygdolqklhygph,1
170,Rqazkjfyvzkhtw,0
171,Pbxxrndmhgxnpm,1
172,Isviwsvegtjodv,0
173,Oezrtomaqesznd,1
174,Lcgknktshzdzrt,1
175,Qfkfiwpmijfbxn,1
176,Dwmfyzpiyknpcz,1
177,Oihfpbivnqybzf,1
178,Cwdvlfauzcaplw,1
179,Riugyieqcyrbue,0
180,Kvrveowxtmrcbl,1
181,Uvufiryeumbnnf,0
182,Fppldmsqkwmckt,0
183,Uuqeknibrhcuae,0
184,Qaekfovpkhyfvv,0
185,Vmvgzxmonjwoal,1
186,Kqrtefipdaahns,0
187,Zyttqhekbvymeo,1
188,Lwgwlwdhccxakg,1
189,Zubsafqpvunazq,1
190,Fnzhirdqijhywh,0
191,Ozwzexfpilssik,1
192,Folsbspxombrkn,1
193,Vvxhrdhvcanirq,1
194,Eyxdtpxsdnlzgk,1
195,Iemvajeozzgwpt,1
196,Uoeqxgdpdfoxxk,0
197,Govxcxggaklcul,1
198,Qdiowinqcezwbo,0
199,Jwbkzuuoybxxth,0
200,Gylwpmajxyxrwe,0
